City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,sisimiut,66.9395,-53.6735,-8.1,82,30,5.03,GL,1697597051
186,buka,40.8108,69.1986,15.95,29,100,1.03,UZ,1697597052
187,camarinas,43.1311,-9.1817,17.88,89,100,9.43,ES,1697597052
188,saint joseph,39.7686,-94.8466,13.09,61,0,2.68,US,1697597038
189,venev,54.3553,38.2684,1.26,87,12,6.23,RU,1697597052
190,fale old settlement,-9.3852,-171.2468,28.4,73,18,2.95,TK,1697597052
191,umm kaddadah,13.6017,26.6876,25.53,18,81,7.02,SD,1697597053
192,napili-honokowai,20.9708,-156.6705,30.64,81,3,3.66,US,1697597053
193,walvis bay,-22.9575,14.5053,15.05,88,5,3.09,NA,1697597053
194,queenstown,-31.8976,26.8753,11.58,70,0,1.57,ZA,1697596801
195,puerto madero,14.7208,-92.4215,25.11,100,40,0.0,MX,1697597054
196,coesfeld,51.9333,7.15,5.77,90,100,4.28,DE,1697597054
197,hobyo,5.3505,48.5268,27.62,79,24,4.57,SO,1697597054
198,pordic,48.5705,-2.8178,16.24,86,100,2.68,FR,1697597054
199,quesnel,52.9999,-122.5029,12.28,54,100,7.2,CA,1697596809
200,nuku'alofa,-21.1333,-175.2,25.19,65,20,8.23,TO,1697597055
201,vila velha,-20.3297,-40.2925,24.97,87,0,6.17,BR,1697597055
202,fort st. john,56.2499,-120.8529,8.94,61,75,4.12,CA,1697597055
203,boa vista,2.8197,-60.6733,26.99,78,20,3.09,BR,1697596765
204,colonia,50.9333,6.95,7.75,79,0,1.54,DE,1697596863
205,katabu,-4.9333,122.5167,33.66,38,7,4.14,ID,1697597056
206,summerside,46.3959,-63.7876,6.19,93,70,1.54,CA,1697596857
207,zilair,52.2332,57.4392,3.01,79,70,3.56,RU,1697597056
208,beau vallon,-20.4189,57.6953,24.56,94,75,1.03,MU,1697597057
209,saudarkrokur,65.7461,-19.6394,5.78,90,99,4.72,IS,1697597057
210,anna regina,7.2644,-58.5077,27.16,81,26,2.69,GY,1697597057
211,kostomuksha,64.571,30.5767,-1.65,89,68,3.58,RU,1697597057
212,mili,6.0815,171.735,28.47,68,67,0.24,MH,1697597057
213,pingliang,35.5392,106.6861,8.32,75,100,2.51,CN,1697597058
214,manfredonia,41.6259,15.9094,12.26,94,20,1.54,IT,1697597058
215,talnakh,69.4865,88.3972,-0.44,96,100,7.45,RU,1697597058
216,bafq,31.6128,55.4107,19.56,31,0,0.42,IR,1697597059
217,tabas,33.5959,56.9244,18.12,36,6,0.0,IR,1697597059
218,clifton springs,-38.15,144.5667,24.64,56,0,4.63,AU,1697597059
219,vadso,70.0744,29.7487,1.49,80,40,5.66,NO,1697597060
220,mersa matruh,31.3525,27.2453,22.11,78,40,2.57,EG,1697597060
221,petrovsk-zabaykal'skiy,51.273,108.843,2.94,74,99,0.45,RU,1697597060
